X,Y,month,day,temp, RH, Wind,rain ,FFMC,DMC,DC,ISI,area
7,5,mar,fri,29,57,18,0,65.7,3.4,7.6,1.3,0.36
7,4,oct,tue,29,61,13,1.3,64.4,4.1,7.6,1,0.43
7,4,oct,sat,26,82,22,13.1,47.1,2.5,7.1,0.3,0.47
8,6,mar,fri,25,89,13,2.5,28.6,1.3,6.9,0,0.55
8,6,mar,sun,27,77,16,0,64.8,3,14.2,1.2,0.61
8,6,aug,sun,31,67,14,0,82.6,5.8,22.2,3.1,0.71
8,6,aug,mon,33,54,13,0,88.2,9.9,30.5,6.4,0.77
8,6,aug,mon,30,73,15,0,86.6,12.1,38.3,5.6,0.9
8,6,sep,tue,25,88,13,0.2,52.9,7.9,38.8,0.4,0.95
7,5,sep,sat,28,79,12,0,73.2,9.5,46.3,1.3,0.96
7,5,sep,sat,31,65,14,0,84.5,12.5,54.3,4,1.07
7,5,sep,sat,26,81,19,0,84,13.8,61.4,4.8,1.12
6,5,aug,fri,27,84,21,1.2,50,6.7,17,0.5,1.19
6,5,sep,mon,30,78,20,0.5,59,4.6,7.8,1,1.36
6,5,sep,wed,28,80,17,3.1,49.4,3,7.4,0.4,1.43
6,5,sep,fri,29,89,13,0.7,36.1,1.7,7.6,0,1.46
5,5,mar,sat,30,89,16,0.6,37.3,1.1,7.8,0,1.46
8,5,oct,mon,31,78,14,0.3,56.9,1.9,8,0.7,1.56
6,4,mar,wed,31,55,16,0.1,79.9,4.5,16,2.5,1.61
6,4,apr,sat,30,80,16,0.4,59.8,3.4,27.1,0.9,1.63
6,4,sep,tue,30,78,14,0,81,6.3,31.6,2.6,1.64
5,4,sep,mon,31,67,17,0.1,79.1,7,39.5,2.4,1.69
7,4,jun,sun,32,62,18,0.1,81.4,8.2,47.7,3.3,1.75
7,4,aug,sat,32,66,17,0,85.9,11.2,55.8,5.6,1.9
7,4,aug,sat,31,64,15,0,86.7,14.2,63.8,5.7,1.94
7,4,aug,sun,31,64,18,0,86.8,17.8,71.8,6.7,1.95
7,4,sep,fri,34,53,18,0,89,21.6,80.3,9.2,2.01
7,4,sep,mon,32,55,14,0,89.1,25.5,88.5,7.6,2.14
6,3,sep,sat,32,47,13,0.3,79.9,18.4,84.4,2.2,2.29
6,3,sep,sun,33,50,14,0,88.7,22.9,92.8,7.2,2.51
6,3,sep,fri,29,68,19,1,59.9,2.5,8.6,1.1,2.53
6,3,sep,mon,27,75,19,1.2,55.7,2.4,8.3,0.8,2.55
6,3,sep,fri,32,76,20,0.7,63.1,2.6,9.2,1.3,2.57
6,3,sep,sun,33,78,17,0,80.1,4.6,18.5,2.7,2.69
6,3,sep,mon,33,66,14,0,85.9,7.6,27.9,4.8,2.74
6,3,sep,tue,32,63,14,0,87,10.9,37,5.6,3.07
6,3,oct,tue,35,64,18,0.2,80,9.7,40.4,2.8,3.5
7,4,oct,fri,33,68,19,0,85.6,12.5,49.8,6,4.53
7,3,oct,sat,32,68,14,1.4,66.6,7.7,9.2,1.1,4.61
4,4,mar,tue,33,69,13,0.7,66.6,6,9.3,1.1,4.69
4,4,jul,tue,33,76,14,0,81.1,8.1,18.7,2.6,4.88
4,4,aug,sat,31,75,13,0.1,75.1,7.9,27.7,1.5,5.23
4,4,aug,tue,34,81,15,0,81.8,9.7,37.2,3,5.33
4,4,sep,sat,34,61,13,0.6,73.9,7.8,22.9,1.4,5.44
4,4,sep,wed,30,80,19,0.4,60.7,5.2,17,1.1,6.38
5,6,sep,wed,28,76,21,0,72.6,7,25.5,0.7,6.83
5,6,sep,mon,29,70,14,0,82.8,9.4,34.1,3.2,6.96
6,6,jul,mon,31,68,14,0,85.4,12.1,43.1,4.6,7.04
4,4,mar,mon,35,59,17,0,88.1,12,52.8,7.7,7.19
4,4,mar,mon,33,65,15,0.1,81.4,12.3,62.1,2.8,7.3
4,4,sep,thu,33,70,17,0,85.4,18.5,71.5,5.2,7.4
4,3,aug,sun,28,79,18,0.1,73.4,16.4,79.9,1.8,8.24
4,3,aug,wed,27,66,22,0.4,68.2,10.5,71.3,1.8,8.31
4,3,aug,wed,28,78,16,0.1,70,9.6,79.7,1.4,8.68
4,3,aug,thu,31,65,18,0,84.3,12.5,88.7,4.8,8.71
4,3,sep,thu,36,53,19,0,89.2,17.1,98.6,10,9.41
4,3,sep,tue,36,48,13,0,90.3,22.2,108.5,8.7,10.01
4,3,oct,sun,33,76,15,0,86.5,24.4,117.8,5.6,10.02
2,2,feb,mon,32,73,15,0,86.6,26.7,127,5.6,10.93
2,2,feb,fri,31,79,15,0,85.4,28.5,136,4.7,11.06
2,2,mar,sun,35,64,17,0,87.2,31.9,145.7,6.8,11.24
2,2,mar,sun,36,45,14,0,78.8,4.8,10.2,2,11.32
2,2,aug,thu,35,55,12,0.4,78,5.8,10,1.7,11.53
2,2,aug,sun,35,63,14,0.3,76.6,5.7,10,1.7,12.1
2,2,aug,mon,34,69,13,0,85,8.2,19.8,4,13.05
2,2,aug,thu,34,65,13,0,86.8,11.1,29.7,5.2,13.7
2,2,sep,fri,32,75,14,0,86.4,13,39.1,5.2,13.99
2,2,sep,fri,32,69,16,0,86.5,15.5,48.6,5.5,14.57
2,2,sep,fri,32,60,18,0.3,77.1,11.3,47,2.2,15.45
4,5,mar,fri,35,59,17,0,87.4,14.8,57,6.9,17.2
4,5,mar,fri,35,55,14,0,88.9,18.6,67,7.4,19.23
4,5,sep,fri,35,63,13,0,88.9,21.7,77,7.1,23.41
5,4,mar,fri,35,51,13,0.3,81.3,15.6,75.1,2.5,24.23
5,4,aug,tue,35,63,15,0,87,19,85.1,5.9,26
5,4,sep,fri,33,66,14,0,87,21.7,94.7,5.7,26.13
9,9,feb,thu,36,55,13,0.3,82.4,15.6,92.5,3.7,27.35
9,9,feb,fri,36,61,18,0.3,80.2,11.7,90.4,2.8,28.66
1,3,mar,mon,37,52,18,0,89.3,16,100.7,9.7,28.66
1,2,aug,fri,36,54,18,0,89.4,20,110.9,9.7,29.48
1,2,aug,tue,35,62,19,0,89.4,23.2,120.9,9.7,30.32
1,2,aug,sun,35,68,19,0,88.3,25.9,130.6,8.8,31.72
1,2,aug,sun,36,58,19,0,88.6,29.6,141.1,9.2,31.86
1,2,aug,tue,36,55,18,0,89.1,33.5,151.3,9.9,32.07
1,2,aug,wed,36,53,16,0,89.5,37.6,161.5,10.4,35.88
1,2,aug,thu,34,64,14,0,88.9,40.5,171.3,9,36.85
1,2,sep,thu,35,60,15,0,88.9,43.9,181.3,8.2,37.02
1,2,sep,thu,31,78,18,0,85.8,45.6,190.6,4.7,37.71
1,2,sep,thu,33,82,21,0,84.9,47,200.2,4.4,48.55
1,2,sep,sun,34,64,16,0,89.4,50.2,210.4,7.3,49.37
6,5,mar,sat,35,48,18,0,90.1,54.2,220.4,12.5,58.3
6,5,aug,sat,35,70,17,0.8,72.7,25.2,180.4,1.7,64.1
8,6,mar,fri,28,80,21,16.8,52.5,8.7,8.7,0.6,71.3
8,6,aug,sun,25,76,17,7.2,46,1.3,7.5,0.2,88.49
8,6,aug,sun,22,86,15,10.1,30.5,0.7,7,0,95.18
8,6,aug,mon,25,78,15,3.8,42.6,1.2,7.5,0.1,103.39
4,4,sep,sun,29,73,17,0.1,68.4,1.9,15.7,1.4,105.66
3,4,feb,sat,29,75,16,0,80.8,3.4,24,2.8,154.88
3,4,mar,sat,29,74,19,0.1,75.8,3.6,32.2,2.1,196.48
3,4,aug,sun,31,71,17,0.3,69.6,3.2,30.1,1.5,200.94
3,4,aug,sun,30,73,17,0.9,62,2.6,8.4,1.1,212.88
3,4,aug,sun,30,77,15,1,56.1,2.1,8.4,0.7,1090.84
3,4,aug,tue,33,73,12,1.8,59.9,2.2,8.9,0.7,0
2,4,aug,tue,30,77,21,1.8,58.5,1.9,8.4,1.1,0
2,4,sep,sat,29,88,13,0,71,2.6,16.6,1.2,0
2,4,jan,sat,25,86,21,4.6,40.9,1.3,7.5,0.1,10.13
4,5,mar,fri,22,76,26,8.3,47.4,1.1,7,0.4,0
4,5,mar,thu,24,82,15,0.4,44.9,0.9,7.3,0.2,2.87
4,5,aug,sun,30,65,14,0,78.1,3.2,15.7,1.9,0.76
4,5,sep,sat,31,52,14,0,87.7,6.4,24.3,6.2,0.09
4,5,sep,mon,32,49,11,0,89.4,9.8,33.1,6.8,0.75
4,4,mar,fri,29,57,14,0,89.3,12.5,41.3,7.8,0
3,4,mar,fri,28,84,18,0,83.8,13.5,49.3,4.5,2.47
3,4,sep,sun,31,55,11,0,87.8,16.5,57.9,5.4,0.68
3,4,sep,mon,31,50,19,0.6,77.8,10.6,41.4,2.4,0.24
